version,ms
500,1.37746
501,1.38654
502,1.401
503,1.40415
504,1.39146
505,1.40877
506,1.39277
507,1.40046
508,1.39831
509,1.40823
510,1.41
511,1.415
512,1.41469
513,1.41431
514,1.42085
515,1.41915
516,1.42892
517,1.41908
518,1.42638
519,1.42938
520,1.42938
521,1.43077
522,1.44923
523,1.44277
524,1.44731
525,1.44892
526,1.45777
527,1.44654
528,1.45892
529,1.45523
530,1.45777
531,1.47154
532,1.46646
533,1.47723
534,1.47277
535,1.47692
536,1.48123
537,1.47938
538,1.48015
539,1.49608
540,1.48723
541,1.48615
542,1.48892
543,1.49469
544,1.49662
545,1.49438
546,1.51123
547,1.49985
548,1.51377
549,1.51285
550,1.52023
551,1.51438
552,1.52869
553,1.51546
554,1.52862
555,1.51631
556,1.53038
557,1.52869
558,1.53808
559,1.53162
560,1.55162
561,1.53254
562,1.54685
563,1.54792
564,1.55938
565,1.54538
566,1.55954
567,1.566
568,1.56608
569,1.55885
570,1.57108
571,1.56285
572,1.57615
573,1.55677
574,1.57185
575,1.56869
576,1.58369
577,1.57985
578,1.58669
579,1.58992
580,1.596
581,1.60908
582,1.59446
583,1.605
584,1.61569
585,1.59392
586,1.61685
587,1.60177
588,1.61315
589,1.608
590,1.60946
591,1.61131
592,1.61431
593,1.61423
594,1.61792
595,1.63392
596,1.62885
597,1.62385
598,1.625
599,1.63469
600,1.63662
601,1.641
602,1.63969
603,1.64962
604,1.64569
605,1.65315
606,1.65708
607,1.64292
608,1.674
609,1.64569
610,1.66177
611,1.65392
612,1.67146
613,1.68569
614,1.66462
615,1.67438
616,1.68354
617,1.67092
618,1.67462
619,1.66862
620,1.68669
621,1.67023
622,1.68423
623,1.68408
624,1.69115
625,1.69046
626,1.70415
627,1.69431
628,1.69654
629,1.71592
630,1.72046
631,1.71269
632,1.72
633,1.72015
634,1.71431
635,1.72077
636,1.72638
637,1.72054
638,1.729
639,1.71908
640,1.73177
641,1.73777
642,1.729
643,1.739
644,1.74638
645,1.75769
646,1.751
647,1.76862
648,1.74638
649,1.76062
650,1.75815
651,1.756
652,1.75254
653,1.76477
654,1.76069
655,1.76515
656,1.77577
657,1.77331
658,1.77154
659,1.786
660,1.77431
661,1.78531
662,1.77831
663,1.79292
664,1.78169
665,1.81038
666,1.79877
667,1.79608
668,1.79231
669,1.79123
670,1.79238
671,1.79462
672,1.79769
673,1.80623
674,1.80238
675,1.80269
676,1.81315
677,1.81915
678,1.82446
