<version>,<mean_time>,<total>
1120,1.43792,70.458
1121,1.43216,70.176
1122,1.437,70.413
1123,1.43416,70.274
1124,1.43782,70.453
1125,1.43833,70.478
1126,1.44671,70.889
1127,1.43853,70.488
1128,1.44282,70.698
1129,1.44329,70.721
1130,1.44239,70.677
1131,1.4841,72.721
1132,1.46396,71.734
1133,1.45184,71.14
1134,1.44522,70.816
1135,1.45031,71.065
1136,1.45251,71.173
1137,1.45527,71.308
1138,1.45216,71.156
1139,1.45198,71.147
1140,1.46129,71.603
1141,1.45578,71.333
1142,1.44953,71.027
1143,1.45843,71.463
1144,1.46027,71.553
1145,1.45961,71.521
1146,1.45771,71.428
1147,1.46586,71.827
1148,1.46012,71.546
1149,1.46588,71.828
1150,1.45953,71.517
1151,1.46335,71.704
1152,1.46165,71.621
1153,1.46616,71.842
1154,1.46604,71.836
1155,1.46841,71.952
1156,1.47106,72.082
1157,1.47357,72.205
1158,1.46853,71.958
1159,1.47278,72.166
1160,1.47173,72.115
1161,1.47555,72.302
1162,1.47445,72.248
1163,1.47767,72.406
1164,1.47637,72.342
1165,1.47631,72.339
1166,1.4812,72.579
1167,1.48508,72.769
1168,1.47927,72.484
1169,1.48416,72.724
1170,1.4841,72.721
1171,1.48529,72.779
1172,1.48139,72.588
1173,1.4861,72.819
1174,1.48235,72.635
1175,1.48812,72.918
1176,1.48645,72.836
1177,1.49173,73.095
1178,1.49357,73.185
1179,1.4968,73.343
1180,1.4931,73.162
1181,1.49753,73.379
1182,1.4962,73.314
1183,1.50004,73.502
1184,1.49737,73.371
1185,1.49718,73.362
1186,1.50102,73.55
1187,1.4968,73.343
1188,1.50631,73.809
1189,1.50051,73.525
1190,1.50524,73.757
1191,1.50265,73.63
1192,1.50496,73.743
1193,1.50753,73.869
1194,1.50914,73.948
1195,1.5062,73.804
1196,1.51718,74.342
1197,1.51182,74.079
1198,1.51402,74.187
1199,1.51614,74.291
1200,1.52178,74.567
1201,1.5159,74.279
1202,1.52022,74.491
1203,1.51531,74.25
1204,1.52392,74.672
1205,1.52729,74.837
1206,1.52369,74.661
1207,1.51961,74.461
1208,1.52794,74.869
1209,1.5278,74.862
